"head"	"genomeSize"	"description"
"ARCH_100"	24554	"Sulfolobus islandicus plasmid pING1, complete sequence"
"ARCH_101"	28930	"Sulfolobus islandicus plasmid pKEF9, complete sequence"
"ARCH_102"	29000	"Sulfolobus islandicus plasmid pSOG1, complete sequence"
"ARCH_103"	25960	"Sulfolobus islandicus plasmid pSOG2, complete sequence"
"ARCH_104"	5705	"Sulfolobus islandicus plasmid pSSVx, complete sequence"
"ARCH_105"	6970	"Sulfolobus islandicus plasmid pXZ1, complete sequence"
"ARCH_106"	5350	"Sulfolobus islandicus REN1H1 plasmid pRN1, complete sequence"
"ARCH_107"	6959	"Sulfolobus islandicus REN1H1 plasmid pRN2, complete sequence"
"ARCH_109"	2812165	"Sulfolobus islandicus Y.N.15.51 chromosome, complete genome"
"ARCH_10"	1590757	"Candidatus Korarchaeum cryptofilum OPF8 chromosome, complete genome"
"ARCH_110"	42245	"Sulfolobus islandicus Y.N.15.51 plasmid pYN01, complete sequence"
"ARCH_111"	9689	"Sulfolobus neozealandicus plasmid pORA1, complete sequence"
"ARCH_112"	4967	"Sulfolobus solfataricus IT3 plasmid pIT3, complete sequence"
"ARCH_113"	2997985	"Sulfolobus solfataricus P2 chromosome, complete genome"
"ARCH_114"	41229	"Sulfolobus sp. NOB8H2 plasmid pNOB8, complete sequence"
"ARCH_115"	20417	"Sulfolobus tengchongensis plasmid pTC, complete sequence"
"ARCH_116"	2694756	"Sulfolobus tokodaii str. 7 chromosome, complete genome"
"ARCH_117"	2045438	"Thermococcus gammatolerans EJ3, complete genome"
"ARCH_118"	2088737	"Thermococcus kodakarensis KOD1, complete genome"
"ARCH_119"	3619	"Thermococcus nautilus 30-1 plasmid pTN1, complete sequence"
"ARCH_11"	2542943	"Candidatus Methanoregula boonei 6A8 chromosome, complete genome"
"ARCH_120"	13015	"Thermococcus nautilus plasmid pTN2, complete sequence"
"ARCH_121"	1847607	"Thermococcus onnurineus NA1, complete genome"
"ARCH_122"	1845800	"Thermococcus sibiricus MM 739, complete genome"
"ARCH_123"	21566	"Thermococcus sp. 26/2 plasmid pT26-2, complete sequence"
"ARCH_124"	20534	"Thermococcus sp. AMT11 plasmid pAMT11, complete sequence"
"ARCH_125"	1813393	"Thermofilum pendens Hrk 5 plasmid pTPEN01, complete sequence"
"ARCH_126"	1564906	"Thermoplasma acidophilum DSM 1728 chromosome, complete genome"
"ARCH_127"	15723	"Thermoplasma acidophilum plasmid pTA1, complete sequence"
"ARCH_128"	1584804	"Thermoplasma volcanium GSS1 chromosome, complete genome"
"ARCH_129"	1769823	"Thermoproteus neutrophilus V24Sta chromosome, complete genome"
"ARCH_12"	2922917	"Candidatus Methanosphaerula palustris E1-9c, complete genome"
"ARCH_130"	1316595	"Thermosphaera aggregans DSM 11486 chromosome, complete genome"
"ARCH_131"	3179916	"Uncultured methanogenic archaeon RC-I chromosome, complete genome"
"ARCH_136"	2702058	"Sulfolobus islandicus Y.G.57.14 chromosome, complete genome"
"ARCH_13"	2045086	"Cenarchaeum symbiosum A unordered unplaced contigs"
"ARCH_14"	2082083	"Cenarchaeum symbiosum B unordered unplaced contigs"
"ARCH_15"	1365223	"Desulfurococcus kamchatkensis 1221n chromosome, complete genome"
"ARCH_16"	2196266	"Ferroglobus placidus DSM 10642 chromosome, complete genome"
"ARCH_17"	3698650	"Halalkalicoccus jeotgali B3 plasmid 3, complete sequence"
"ARCH_18"	1765	"Haloarchaeal coccus LOC-1 GN101 plasmid pHGN1, complete sequence"
"ARCH_19"	4274642	"Haloarcula marismortui ATCC 43049 plasmid pNG100, complete sequence"
"ARCH_1"	7598	"Acidianus ambivalens Lei 10 plasmid pDL10, complete sequence"
"ARCH_20"	3463	"Haloarcula sp. AS7094 plasmid pSCM201, complete sequence"
"ARCH_21"	30118	"Halobacterium salinarum plasmid pHSB, complete sequence"
"ARCH_22"	2668776	"Halobacterium salinarum R1, complete genome"
"ARCH_23"	2571010	"Halobacterium sp. NRC-1 plasmid pNRC100, complete sequence"
"ARCH_24"	4012900	"Haloferax volcanii DS2 plasmid pHV3, complete sequence"
"ARCH_25"	3332349	"Halomicrobium mukohataei DSM 12286 plasmid pHmuk01, complete sequence"
"ARCH_26"	3179361	"Haloquadratum walsbyi DSM 16790 plasmid PL47, complete sequence"
"ARCH_27"	3116795	"Halorhabdus utahensis DSM 12940 chromosome, complete genome"
"ARCH_28"	3692576	"Halorubrum lacusprofundi ATCC 49239 chromosome 2, complete genome"
"ARCH_29"	3918	"Halorubrum saccharovorum plasmid pZMX101, complete sequence"
"ARCH_2"	28649	"Acidianus hospitalis plasmid pAH1, complete sequence"
"ARCH_30"	2272	"Haloterrigena thermotolerans plasmid pSN, complete sequence"
"ARCH_31"	5440782	"Haloterrigena turkmenica DSM 5511, complete genome"
"ARCH_32"	1667163	"Hyperthermus butylicus DSM 5456 chromosome, complete genome"
"ARCH_33"	1297538	"Ignicoccus hospitalis KIN4/I chromosome, complete genome"
"ARCH_34"	1875953	"Ignisphaera aggregans DSM 17230 chromosome, complete genome"
"ARCH_35"	2191517	"Metallosphaera sedula DSM 5348 chromosome, complete genome"
"ARCH_36"	2937203	"Methanobrevibacter ruminantium M1 chromosome, complete genome"
"ARCH_37"	1853160	"Methanobrevibacter smithii ATCC 35061 chromosome, complete genome"
"ARCH_38"	1507251	"Methanocaldococcus fervens AG86, complete genome"
"ARCH_39"	1328194	"Methanocaldococcus infernus ME chromosome, complete genome"
"ARCH_3"	1496453	"Acidilobus saccharovorans 345-15 chromosome, complete genome"
"ARCH_40"	1739927	"Methanocaldococcus jannaschii DSM 2661 plasmid large ECE, complete sequence"
"ARCH_41"	1773136	"Methanocaldococcus sp. FS406-22 chromosome, complete genome"
"ARCH_43"	1761737	"Methanocaldococcus vulcanius M7, complete genome"
"ARCH_44"	2957635	"Methanocella paludicola SANAE chromosome, complete genome"
"ARCH_45"	2575032	"Methanococcoides burtonii DSM 6242, complete genome"
"ARCH_46"	1569500	"Methanococcus aeolicus Nankai-3, complete genome"
"ARCH_47"	1797331	"Methanococcus maripaludis C5 plasmid pURB500, complete sequence"
"ARCH_48"	1744193	"Methanococcus maripaludis C6, complete genome"
"ARCH_49"	1772694	"Methanococcus maripaludis C7, complete genome"
"ARCH_4"	1486778	"Aciduliprofundum boonei T469 chromosome, complete genome"
"ARCH_50"	1661137	"Methanococcus maripaludis S2, complete genome"
"ARCH_51"	1720048	"Methanococcus vannielii SB, complete genome"
"ARCH_52"	1936387	"Methanococcus voltae A3 chromosome, complete genome"
"ARCH_53"	1804962	"Methanocorpusculum labreanum Z chromosome, complete genome"
"ARCH_54"	2478101	"Methanoculleus marisnigri JR1 chromosome, complete genome"
"ARCH_55"	2406232	"Methanohalobium evestigatum Z-7303 chromosome, complete genome"
"ARCH_56"	2012424	"Methanohalophilus mahii DSM 5219 chromosome, complete genome"
"ARCH_57"	2158	"Methanohalophilus mahii plasmid pML, complete sequence"
"ARCH_58"	2843290	"Methanoplanus petrolearius DSM 11571 chromosome, complete genome"
"ARCH_59"	1694969	"Methanopyrus kandleri AV19, complete genome"
"ARCH_5"	1669696	"Aeropyrum pernix K1, complete genome"
"ARCH_60"	1879471	"Methanosaeta thermophila PT chromosome, complete genome"
"ARCH_61"	5756959	"Methanosarcina acetivorans C2A plasmid pC2A, complete sequence"
"ARCH_62"	4873766	"Methanosarcina barkeri str. fusaro plasmid 1, complete sequence"
"ARCH_63"	4096345	"Methanosarcina mazei Go1 chromosome, complete genome"
"ARCH_64"	1767403	"Methanosphaera stadtmanae DSM 3091 chromosome, complete genome"
"ARCH_65"	3544738	"Methanospirillum hungatei JF-1, complete genome"
"ARCH_66"	1639135	"Methanothermobacter marburgensis str. Marburg chromosome, complete genome"
"ARCH_67"	4439	"Methanothermobacter thermautotrophicus Marburg plasmid pME2001, complete sequence"
"ARCH_68"	6205	"Methanothermobacter thermautotrophicus plasmid pME2200, complete sequence"
"ARCH_69"	1751377	"Methanothermobacter thermautotrophicus str. Delta H chromosome, complete genome"
"ARCH_6"	2178400	"Archaeoglobus fulgidus DSM 4304, complete genome"
"ARCH_70"	13514	"Methanothermobacter thermautotrophicus THF plasmid pFV1, complete sequence"
"ARCH_71"	11014	"Methanothermobacter thermautotrophicus Z-245 plasmid pFZ1, complete sequence"
"ARCH_72"	490885	"Nanoarchaeum equitans Kin4-M chromosome, complete genome"
"ARCH_73"	4443643	"Natrialba magadii ATCC 43099 chromosome, complete genome"
"ARCH_74"	1668	"Natrinema sp. CX2021 plasmid pZMX201, complete sequence"
"ARCH_75"	2538	"Natronobacterium sp. AS-7091 plasmid pNB101, complete sequence"
"ARCH_76"	2749696	"Natronomonas pharaonis DSM 2160, complete genome"
"ARCH_77"	1645259	"Nitrosopumilus maritimus SCM1 chromosome, complete genome"
"ARCH_78"	1545895	"Picrophilus torridus DSM 9790 chromosome, complete genome"
"ARCH_79"	2222430	"Pyrobaculum aerophilum str. IM2 chromosome, complete genome"
"ARCH_7"	1563423	"Archaeoglobus profundus DSM 5631, complete genome"
"ARCH_80"	2121076	"Pyrobaculum arsenaticum DSM 13514, complete genome"
"ARCH_81"	2009313	"Pyrobaculum calidifontis JCM 11548 chromosome, complete genome"
"ARCH_82"	1826402	"Pyrobaculum islandicum DSM 4184 chromosome, complete genome"
"ARCH_83"	1768562	"Pyrococcus abyssi GE5 plasmid pGT5, complete sequence"
"ARCH_84"	1908256	"Pyrococcus furiosus DSM 3638, complete genome"
"ARCH_85"	1738505	"Pyrococcus horikoshii OT3, complete genome"
"ARCH_86"	12205	"Pyrococcus sp. 12/1 plasmid pP12-1, complete sequence"
"ARCH_87"	3373	"Pyrococcus sp. JT1 plasmid pRT1, complete sequence"
"ARCH_88"	1580347	"Staphylothermus hellenicus DSM 12710 chromosome, complete genome"
"ARCH_89"	1570485	"Staphylothermus marinus F1 chromosome, complete genome"
"ARCH_8"	2802	"Archaeoglobus profundus plasmid pGS5, complete sequence"
"ARCH_90"	2225959	"Sulfolobus acidocaldarius DSM 639 chromosome, complete genome"
"ARCH_91"	7830	"Sulfolobus islandicus HEN7H2 plasmid pHEN7, complete sequence"
"ARCH_92"	2748647	"Sulfolobus islandicus L.D.8.5 plasmid pLD8501, complete sequence"
"ARCH_93"	2736272	"Sulfolobus islandicus L.S.2.15 chromosome, complete genome"
"ARCH_94"	2608832	"Sulfolobus islandicus M.14.25 chromosome, complete genome"
"ARCH_95"	2692402	"Sulfolobus islandicus M.16.27 chromosome, complete genome"
"ARCH_96"	2586647	"Sulfolobus islandicus M.16.4 chromosome, complete genome"
"ARCH_97"	26200	"Sulfolobus islandicus plasmid pARN3, complete sequence"
"ARCH_98"	26476	"Sulfolobus islandicus plasmid pARN4, complete sequence"
"ARCH_99"	35422	"Sulfolobus islandicus plasmid pHVE14, complete sequence"
"ARCH_9"	2077567	"Caldivirga maquilingensis IC-167 chromosome, complete genome"
"BACT_1000"	3530383	"Robiginitalea biformata HTCC2501, complete genome"
"BACT_1001"	4380675	"Roseburia intestinalis L1-82 R_intestinalis-1.0.2_Cont0.10, whole genome shotgun sequence"
"BACT_1002"	4048462	"Roseburia inulinivorans DSM 16841 R_inulinivorans-1.0.1_Cont0.1, whole genome shotgun sequence"
"BACT_1003"	5723298	"Roseiflexus castenholzii DSM 13941, complete genome"
"BACT_1004"	5801598	"Roseiflexus sp. RS-1, complete genome"
"BACT_1005"	4133097	"Roseobacter denitrificans OCh 114, complete genome"
"BACT_1006"	4678915	"Roseobacter litoralis Och 149 1103268010290, whole genome shotgun sequence"
"BACT_1007"	4178704	"Roseobacter sp. AzwK-3b 1103032000568, whole genome shotgun sequence"
"BACT_1008"	3497325	"Roseobacter sp. CCS2 1101676645857, whole genome shotgun sequence"
"BACT_1009"	4514062	"Roseobacter sp. GAI101 ctg_1106754216489, whole genome shotgun sequence"
"BACT_100"	5684345	"Bacillus cereus 172560W contig00938, whole genome shotgun sequence"
"BACT_1010"	4652716	"Roseobacter sp. MED193 1099517003972, whole genome shotgun sequence"
"BACT_1011"	4555826	"Roseobacter sp. SK209-2-6 1101232001815, whole genome shotgun sequence"
"BACT_1012"	3668667	"Roseovarius nubinhibens ISM 1099451318301, whole genome shotgun sequence"
"BACT_1013"	4762632	"Roseovarius sp. 217 1099463000292, whole genome shotgun sequence"
"BACT_1014"	5425920	"Roseovarius sp. HTCC2601 1100011001310, whole genome shotgun sequence"
"BACT_1015"	4209812	"Roseovarius sp. TM1035 1101493006653, whole genome shotgun sequence"
"BACT_1016"	2255158	"Rothia mucilaginosa ATCC 25296 contig00011, whole genome shotgun sequence"
"BACT_1017"	3225748	"Rubrobacter xylanophilus DSM 9941, complete genome"
"BACT_1018"	4601053	"Ruegeria pomeroyi DSS-3 chromosome, complete genome"
"BACT_1019"	3819029	"Ruegeria sp. R11 ctg_1106758222066, whole genome shotgun sequence"
"BACT_101"	5561255	"Bacillus cereus 95/8201 contig00019, whole genome shotgun sequence"
"BACT_1020"	4573608	"Ruminococcus flavefaciens FD-1 Contig113.1.2.118, whole genome shotgun sequence"
"BACT_1021"	3501911	"Ruminococcus gnavus ATCC 29149 R_gnavus-1.0.1_Cont1.1, whole genome shotgun sequence"
"BACT_1022"	2729735	"Ruminococcus lactaris ATCC 29176 R_lactaris-2.0.1_Cont100.1, whole genome shotgun sequence"
"BACT_1023"	3624708	"Ruminococcus obeum ATCC 29174 R_obeum-MSIQ_Cont165, whole genome shotgun sequence"
"BACT_1024"	3801051	"Ruminococcus sp. 5_1_39BFAA strain 5_1_39B_FAA cont1.200, whole genome shotgun sequence"
"BACT_1025"	2739406	"Ruminococcus torques ATCC 27756 Ruminococcus_torques_2.0_Cont52, whole genome shotgun sequence"
"BACT_1026"	4308349	"Saccharomonospora viridis DSM 43017, complete genome"
"BACT_1027"	5057531	"Saccharophagus degradans 2-40, complete genome"
"BACT_1028"	5262893	"Sagittula stellata E-37 1101159001468, whole genome shotgun sequence"
"BACT_1029"	3587328	"Salinibacter ruber DSM 13855, complete genome"
"BACT_102"	5908750	"Bacillus cereus AH1134 gcontig_1113129653792, whole genome shotgun sequence"
"BACT_1030"	5786361	"Salinispora arenicola CNS-205, complete genome"
"BACT_1031"	5183331	"Salinispora tropica CNB-440, complete genome"
"BACT_1032"	4600800	"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-- chromosome, complete genome"
"BACT_1033"	4836638	"Salmonella enterica subsp. enterica serovar Agona str. SL483 plasmid unnamed, complete sequence"
"BACT_1034"	4944000	"Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67 plasmid pSCV50, complete sequence"
"BACT_1035"	4917459	"Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853 plasmid pCT02021853_74, complete sequence"
"BACT_1036"	4685848	"Salmonella enterica subsp. enterica serovar Enteritidis str. P125109, complete genome"
"BACT_1037"	4658697	"Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91 chromosome, complete genome"
"BACT_1038"	4793325	"Salmonella enterica subsp. enterica serovar Hadar str. RI_05P066 gcontig_1106390391998, whole genome shotgun sequence"
"BACT_1039"	4546142	"Salmonella enterica subsp. enterica serovar Javiana str. GA_MM04042433 gcontig_1113115915063, whole genome shotgun sequence"
"BACT_103"	5620004	"Bacillus cereus AH1271 contig00511, whole genome shotgun sequence"
"BACT_1040"	4585229	"Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150, complete genome"
"BACT_1041"	4858887	"Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7 chromosome, complete genome"
"BACT_1042"	4928961	"Salmonella enterica subsp. enterica serovar Saintpaul str. SARA29 gcontig_1104776685931, whole genome shotgun sequence"
"BACT_1043"	4785739	"Salmonella enterica subsp. enterica serovar Tennessee str. CDC07-0191 NZ_ACBF01000001, whole genome shotgun sequence"
"BACT_1044"	5029760	"Salmonella enterica subsp. enterica serovar Typhi str. M223 NZ_CAAX01000001, whole genome shotgun sequence"
"BACT_1045"	5047463	"Salmonella enterica subsp. enterica serovar Weltevreden str. HI_N05-537 gcontig_1106390373098, whole genome shotgun sequence"
"BACT_1046"	4951371	"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 chromosome, complete genome"
"BACT_1047"	4253413	"Sanguibacter keddieii DSM 10542, complete genome"
"BACT_1048"	4486650	"Sebaldella termitidis ATCC 33386 plasmid pSTERM01, complete sequence"
"BACT_1049"	2157862	"Selenomonas flueggei ATCC 43531 contig00001, whole genome shotgun sequence"
"BACT_104"	5749301	"Bacillus cereus AH1273 contig00005, whole genome shotgun sequence"
"BACT_1050"	2039467	"Selenomonas noxia ATCC 43541 NZ_ACKT01000001, whole genome shotgun sequence"
"BACT_1051"	2553953	"Selenomonas sputigena ATCC 35185 S_sputigena-1.0.1_Cont0.10, whole genome shotgun sequence"
"BACT_1052"	5495657	"Serratia proteamaculans 568 plasmid pSPRO01, complete sequence"
"BACT_1053"	4306142	"Shewanella amazonensis SB2B, complete genome"
"BACT_1054"	5547544	"Shewanella baltica OS195 plasmid pS19501, complete sequence"
"BACT_1055"	4351589	"Shewanella benthica KT99 1099576005631, whole genome shotgun sequence"
"BACT_1056"	4545906	"Shewanella denitrificans OS217, complete genome"
"BACT_1057"	4845257	"Shewanella frigidimarina NCIMB 400, complete genome"
"BACT_1058"	5226917	"Shewanella halifaxensis HAW-EB4, complete genome"
"BACT_1059"	4602594	"Shewanella loihica PV-4, complete genome"
"BACT_105"	5599857	"Bacillus cereus AH187 plasmid pAH187_12, complete sequence"
"BACT_1060"	5131416	"Shewanella oneidensis MR-1, complete genome"
"BACT_1061"	5174581	"Shewanella pealeana ATCC 700345, complete genome"
"BACT_1062"	5396476	"Shewanella piezotolerans WP3 chromosome, complete genome"
"BACT_1063"	5517674	"Shewanella sediminis HAW-EB3, complete genome"
"BACT_1064"	4972204	"Shewanella sp. ANA-3 chromosome 1, complete sequence"
"BACT_1065"	4799109	"Shewanella sp. MR-7 plasmid1, complete sequence"
"BACT_1066"	4708380	"Shewanella sp. W3-18-1, complete genome"
"BACT_1067"	5935403	"Shewanella woodyi ATCC 51908, complete genome"
"BACT_1068"	4874659	"Shigella boydii CDC 3083-94 plasmid pBS512_2, complete sequence"
"BACT_1069"	4828821	"Shigella flexneri 2a str. 301, complete genome"
"BACT_106"	5774351	"Bacillus cereus AH603 contig00041, whole genome shotgun sequence"
"BACT_1070"	5055316	"Shigella sonnei Ss046 plasmid pSS046_spA, complete sequence"
"BACT_1071"	4717340	"Shigella sp. D9 NZ_ACDL01000001, whole genome shotgun sequence"
"BACT_1072"	2168977	"Shuttleworthia satelles DSM 14600 S_satelles-1.0.1_Cont0.1, whole genome shotgun sequence"
"BACT_1073"	3003656	"Sideroxydans lithotrophicus ES-1 chromosome, complete genome"
"BACT_1074"	3515866	"Silicibacter lacuscaerulensis ITI-1157 ctg_1113211289283, whole genome shotgun sequence"
"BACT_1075"	6817576	"Sinorhizobium medicae WSM419 plasmid pSMED01, complete sequence"
"BACT_1076"	6691694	"Sinorhizobium meliloti 1021, complete genome"
"BACT_1077"	2094589	"Slackia exigua ATCC 700122 S_exigua-2.0.1_Cont0.10, whole genome shotgun sequence"
"BACT_1078"	3165038	"Slackia heliotrinireducens DSM 20476, complete genome"
"BACT_1079"	4292502	"Sodalis glossinidius str. 'morsitans', complete genome"
"BACT_107"	5655808	"Bacillus cereus AH621 contig00207, whole genome shotgun sequence"
"BACT_1080"	9965640	"Solibacter usitatus Ellin6076, complete genome"
"BACT_1081"	13033779	"Sorangium cellulosum 'So ce 56', complete genome"
"BACT_1082"	3993764	"Sphaerobacter thermophilus DSM 20745 chromosome 1, complete genome"
"BACT_1083"	5218706	"Sphingobacterium spiritivorum ATCC 33300 contig00001, whole genome shotgun sequence"
"BACT_1084"	3948000	"Sphingomonas sp. SKA58 1100007010408, whole genome shotgun sequence"
"BACT_1085"	5915246	"Sphingomonas wittichii RW1 plasmid pSWIT01, complete sequence"
"BACT_1086"	3373713	"Sphingopyxis alaskensis RB2256, complete genome"
"BACT_1088"	8491258	"Spirosoma linguale DSM 74 plasmid pSLIN01, complete sequence"
"BACT_1089"	6841557	"Stackebrandtia nassauensis DSM 44728 chromosome, complete genome"
"BACT_108"	5563247	"Bacillus cereus AH676 contig00271, whole genome shotgun sequence"
"BACT_1090"	2903081	"Staphylococcus aureus subsp. aureus USA300_TCH1516, complete genome"
"BACT_1091"	2435835	"Staphylococcus capitis SK14 contig00010, whole genome shotgun sequence"
"BACT_1092"	2566424	"Staphylococcus carnosus subsp. carnosus TM300, complete genome"
"BACT_1093"	2643840	"Staphylococcus epidermidis RP62A plasmid pSERP, complete sequence"
"BACT_1094"	2697861	"Staphylococcus haemolyticus JCSC1435 plasmid pSHaeA, complete sequence"
"BACT_1095"	2226236	"Staphylococcus hominis SK119 contig00059, whole genome shotgun sequence"
"BACT_1096"	2577899	"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305, complete genome"
"BACT_1097"	2425653	"Staphylococcus warneri L37603 contig00102, whole genome shotgun sequence"
"BACT_1098"	4851126	"Stenotrophomonas maltophilia K279a chromosome, complete genome"
"BACT_1099"	4990006	"Stenotrophomonas sp. SKA14 ctg_1108481805222, whole genome shotgun sequence"
"BACT_109"	5588834	"Bacillus cereus AH820 plasmid pAH820_10, complete sequence"
"BACT_10"	2158157	"Acidimicrobium ferrooxidans DSM 10331, complete genome"
"BACT_1100"	10265408	"Stigmatella aurantiaca DW4/3-1 gsam_491, whole genome shotgun sequence"
